Elemento,R2,MAE,RMSE,Model
B,0.6612402114054708,0.0991095472682029,0.1349964203139399,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
Cu,0.3959655311425742,0.2515207284942586,0.3535951491216526,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
Zn,0.6101998784612266,0.8276208251714707,1.1939370215595253,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
Fe,0.4908532992939116,29.381626599900265,40.01298008073017,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
S,0.3730851408989563,7.012982344908461,10.766982315754658,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
Mn,0.5126785690746114,11.12982574625218,15.751741134907324,proto20_embed64_encoder_vanilla_mr_75_depth12_nH16
B,0.6400086801535736,0.1037066714877777,0.1391625379428931,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
Cu,0.3779415477879919,0.2611206738238639,0.3588318920752171,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
Zn,0.5767936872872006,0.8705067505227758,1.244046181358733,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
Fe,0.5452975876061519,28.01339620224973,37.8131676440029,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
S,0.3778637575473685,7.071911946458104,10.725868517244864,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
Mn,0.4770147835529515,11.664174739350663,16.317946948981906,proto20_embed64_encoder_vanilla_mr_25_depth12_nH16
B,0.6335944688889896,0.1052750931299747,0.1403968411142192,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
Cu,0.3924963377879765,0.2626110524573224,0.3546091091778344,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
Zn,0.5940758655749945,0.8770568065186765,1.218380306358003,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
Fe,0.5371663596941444,28.270816364694152,38.14976698540666,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
S,0.3762068837508771,6.82337487018921,10.740141591854172,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
Mn,0.4887903494582227,11.39620570527746,16.133193119220017,proto20_embed64_encoder_vanilla_mr_50_depth12_nH16
B,0.6112285085863662,0.1072398358520041,0.1446183929656099,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
Cu,0.3302541555189647,0.273263719994971,0.3723320754657145,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
Zn,0.5574771982975946,0.8986652650731677,1.272120527276018,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
Fe,0.5215468877889228,29.06619952587371,38.78815504545433,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
S,0.3723430031320985,6.869530165708514,10.77335337291961,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
Mn,0.5149325801470492,11.290412732388113,15.71527059738489,proto20_embed64_encoder_hsi_mr_50_depth12_nH16
B,0.6067269869311183,0.107845900477247,0.145453239668331,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
Cu,0.3275364368794952,0.2677489633255817,0.3730867418683719,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
Zn,0.5509496107095248,0.9113354695604202,1.2814686101412964,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
Fe,0.4723565795930859,30.178807579202857,40.73330925335933,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
S,0.3819044527141283,6.920957822824605,10.690980205445475,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
Mn,0.4797280383130119,11.532895751709631,16.275563034686733,proto20_embed64_encoder_hsi_mr_75_depth12_nH16
